event_id,flow_id,created_at,transaction_lifecycle_event,decline_reason,decline_type,payment_method,transaction_id,transaction_type,amount,currency_code,processor_merchant_account_id,payment_instrument_type
d823e453-ade0-4a44-9d66-98f0a895ea9e,c69c6f2d-37be-4174-92d2-e3bb49c09c03,"2021-06-03 07:47:50.208389",,,,NEVER,9be77217-e292-4ac7-b275-f38e123910b7,SALE,36510,GBP,776249f3-a050-579b-b525-55f232140c4b,PAYMENT_CARD
c5fa557a-0f2d-4157-858e-f72bfd0f0409,c69c6f2d-37be-4174-92d2-e3bb49c09c03,"2021-06-03 07:47:50.213369",,,,NEVER,9be77217-e292-4ac7-b275-f38e123910b7,SALE,36510,GBP,776249f3-a050-579b-b525-55f232140c4b,PAYMENT_CARD
59342ddb-3fb8-4c8d-8c0d-ba29ce367b45,c69c6f2d-37be-4174-92d2-e3bb49c09c03,"2021-06-03 07:47:50.219271",AUTHORIZATION_SUBMITTED,,,NEVER,9be77217-e292-4ac7-b275-f38e123910b7,SALE,36510,GBP,776249f3-a050-579b-b525-55f232140c4b,PAYMENT_CARD
ea5bda58-2e1d-4703-9a97-803647dd88c5,c69c6f2d-37be-4174-92d2-e3bb49c09c03,"2021-06-03 07:47:50.231382",AUTHORIZATION_FAILED,,,NEVER,9be77217-e292-4ac7-b275-f38e123910b7,SALE,36510,GBP,776249f3-a050-579b-b525-55f232140c4b,PAYMENT_CARD
a026ac9f-880e-47d6-9a8a-ef28c561e6e7,0a61d38b-9716-4e85-9797-5c4fe16969a7,"2021-06-03 07:47:50.243237",,,,NEVER,d001ef22-257e-4a04-bd4d-6b19cdcb5b62,SALE,46606,GBP,776249f3-a050-579b-b525-55f232140c4b,PAYMENT_CARD
0c0ba6ae-d7bf-493a-bf38-199da702d8ee,0a61d38b-9716-4e85-9797-5c4fe16969a7,"2021-06-03 07:47:50.248627",,,,NEVER,d001ef22-257e-4a04-bd4d-6b19cdcb5b62,SALE,46606,GBP,776249f3-a050-579b-b525-55f232140c4b,PAYMENT_CARD
b44b479a-7f43-40d5-8521-01940a592de5,0a61d38b-9716-4e85-9797-5c4fe16969a7,"2021-06-03 07:47:50.254368",AUTHORIZATION_SUBMITTED,,,NEVER,d001ef22-257e-4a04-bd4d-6b19cdcb5b62,SALE,46606,GBP,776249f3-a050-579b-b525-55f232140c4b,PAYMENT_CARD
569329bc-5bd0-4d86-abe3-2cbf811328c1,0a61d38b-9716-4e85-9797-5c4fe16969a7,"2021-06-03 07:47:50.268785",AUTHORIZATION_FAILED,,,NEVER,d001ef22-257e-4a04-bd4d-6b19cdcb5b62,SALE,46606,GBP,776249f3-a050-579b-b525-55f232140c4b,PAYMENT_CARD
bc9cfb5e-03dc-45c7-99cb-ac1470c71e1e,b2b99761-2ec2-4439-bbd4-ed0a8232400f,"2021-06-03 07:47:50.287139",,,,NEVER,7237773c-d959-499a-a562-309851496cdb,SALE,82066,GBP,776249f3-a050-579b-b525-55f232140c4b,PAYMENT_CARD
4b2a62ad-1b49-4f07-b70f-14214e49b67d,952cd1b6-00ba-4f5a-a351-cd3beead3737,"2021-06-03 07:47:50.302477",,,,NEVER,e7744ed5-2598-444f-b285-2043a772e93c,SALE,30409,GBP,776249f3-a050-579b-b525-55f232140c4b,PAYMENT_CARD
